# 原版baseline
1,188.8253
2,102.4906
3,76.5791
4,53.9937
5,54.6547
6,52.1988
7,50.4932
8,53.3867
9,55.7464
10,57.6571
11,58.3669
12,58.5811
13,59.7114
14,62.4733
15,60.7267
16,61.9444
17,61.3064
18,61.7263
19,64.4753
20,62.5360
21,66.2500
22,64.1200
23,65.6852
24,65.7855
25,68.8469
26,71.1493
27,70.8464
28,76.9502
29,81.9376
30,87.3412
31,98.2232
32,107.2206
33,116.3120
34,118.5280
35,128.7890
36,135.0523
37,141.9940
38,143.9006
39,148.5420
40,155.7450
41,164.2600
42,175.8496
43,175.7950
44,169.4813
45,174.0686
46,176.8626
47,184.6680
48,188.2540
49,200.1353
50,202.4623
51,208.7260
52,207.3696
53,204.4830
54,202.0880
55,204.5340
56,208.0683
57,222.3786
58,221.7150
59,224.5056
60,227.5763
61,229.1390
62,238.9936
63,247.8143
64,252.5956

# 线程安全版
# 1,268.4980
# 2,150.4360
# 3,99.8549
# 4,81.7101
# 5,72.5694
# 6,70.1238
# 7,70.3371
# 8,66.6283
# 9,68.4927
# 10,69.9646
# 11,68.8734
# 12,71.5786
# 13,72.5963
# 14,69.8413
# 15,73.1798
# 16,71.4496
# 17,72.4409
# 18,71.4580
# 19,75.0376
# 20,75.6990
# 21,74.5583
# 22,78.5323
# 23,84.9771
# 24,81.0048
# 25,80.8798
# 26,87.9858
# 27,85.5747
# 28,92.7089
# 29,94.6046
# 30,100.0762
# 31,107.4725
# 32,116.5280
# 33,120.7050
# 34,126.8025
# 35,135.2840
# 36,137.5560
# 37,145.3155
# 38,147.0510
# 39,152.2305
# 40,156.9740
# 41,161.2180
# 42,169.6900
# 43,174.0425
# 44,172.5835
# 45,179.5385
# 46,176.6420
# 47,182.2425
# 48,183.6155
# 49,196.1665
# 50,198.2000
# 51,203.8240
# 52,204.1330
# 53,204.6285
# 54,203.7340
# 55,194.6740
# 56,211.5985
# 57,210.3635
# 58,219.0655
# 59,220.7135
# 60,221.4495
# 61,228.0870
# 62,233.3420
# 63,235.6335
# 64,231.1055


1,191.5040
2,109.5379
3,80.9859
4,63.8670
5,59.1321
6,58.0255
7,48.6662
8,51.1086
9,61.2925
10,56.7381
11,56.2748
12,58.3432
13,60.1641
14,56.5266
15,53.8442
16,54.9635
17,55.5842
18,59.8019
19,65.7199
20,60.3104
21,64.2475
22,66.5206
23,68.7167
24,77.1208
25,77.7621
26,81.5814
27,85.5153
28,84.1965
29,89.7279
30,94.3826
31,95.4612
32,101.4375
33,103.0138
34,108.4626
35,112.6160
36,110.7766
37,115.1673
38,109.3106
39,113.7966
40,110.8780
41,111.4703
42,116.9370
43,114.2430
44,111.7713
45,102.0456
46,108.3013
47,103.8690
48,103.4736
49,104.8956
50,103.8120
51,95.6847
52,102.7910
53,100.7812
54,102.5735
55,107.9510
56,109.8190
57,111.2943
58,111.0650
59,115.3506
60,115.6353
61,111.3030
62,124.3506
63,114.8303
64,125.6226
